tf,action,target
MAK,1.0,KLK3
XBP1,1.0,TPP1
KLF5,1.0,CXCR4
ATF3,-1.0,SELE
MYC,1.0,EIF4G1
LDHA,1.0,HIF1A
HIF1A,1.0,LDHA
MYC,1.0,TERT
TERT,1.0,MYC
SP1,1.0,BLMH
FOXF2,1.0,BAMBI
EGR1,1.0,SLC9A3
ZNF300,1.0,IL6
KLF10,1.0,ITGAD
MYC,1.0,EIF4A1
MAX,1.0,TFRC
MARK4,1.0,CTNNB1
PPARGC1A,1.0,TFB1M
PPARGC1A,1.0,TFB2M
SPP1,1.0,EP300
TWIST1,1.0,YBX1
JUN,1.0,THBD
MOV10,-1.0,RUNX1
ETV4,1.0,CCND2
ETV4,1.0,CCND3
RELA,-1.0,THBD
ZFP36,-1.0,VEGFA
TBL1X,1.0,SLC27A1
FOS,1.0,KRT5
RUNX1,1.0,AXIN1
TP53,1.0,CKM
ETS1,1.0,CCND1
CCND1,1.0,ETS1
MAX,1.0,EIF4G1
PAX6,1.0,PCSK1
WWTR1,-1.0,ASNS
SND1,1.0,AGTR1
HIST2H3C,1.0,BCL2
TP63,1.0,DST
TFRC,1.0,MYC
MYC,1.0,TFRC
NKX2-5,-1.0,MEF2C
NR1H4,-1.0,EDN1
TP53,1.0,RABGGTA
DAAM1,1.0,FOXO3
DAAM1,1.0,FOXO1
DSP,-1.0,CTNNB1
MED25,1.0,PLIN1
MED26,1.0,PLIN1
MED27,1.0,PLIN1
MED28,1.0,PLIN1
MED29,1.0,PLIN1
MED20,1.0,PLIN1
MED21,1.0,PLIN1
MED22,1.0,PLIN1
MED23,1.0,PLIN1
MED24,1.0,PLIN1
MED30,1.0,PLIN1
MED31,1.0,PLIN1
FST,1.0,TCF7L2
MED14,1.0,PLIN1
MED15,1.0,PLIN1
MED16,1.0,PLIN1
MED17,1.0,PLIN1
MED18,1.0,PLIN1
MED19,1.0,PLIN1
MED10,1.0,PLIN1
MED11,1.0,PLIN1
MED12,1.0,PLIN1
MED13,1.0,PLIN1
SP1,1.0,TAF7
RXRA,-1.0,ABCC3
SREBF1,1.0,TM7SF2
SREBF2,1.0,TM7SF2
TM7SF2,1.0,SREBF2
MYB,1.0,KLF1
E2F1,1.0,MUC4
SP3,-1.0,EAPP
FOXA1,1.0,C4BPB
FOXA2,1.0,C4BPB
FOXA3,1.0,C4BPB
NFKB1,1.0,VEGFD
STAT3,1.0,HSP90AA1
NFKB1,1.0,VEGFA
TBL1XR1,1.0,RGL1
USF1,1.0,SLC22A2
WNT4,1.0,FOXO1
GATA1,1.0,GP6
GATA1,1.0,GP9
MYB,1.0,TFEC
TCF7L2,1.0,GCG
ESR1,1.0,CCND1
GATA4,1.0,GIP
FOXF2,1.0,WASF2
ESR1,1.0,CCNA2
TBL1XR1,1.0,SULT2A1
LEF1,1.0,CACNA1G
CREBBP,1.0,TXNRD1
SETD1A,1.0,ITGA2B
SETD1B,1.0,ITGA2B
NF1,1.0,GADD45A
L1TD1,1.0,NANOG
PER1,1.0,BCL2
ASCL1,-1.0,NOTCH2
ASCL1,-1.0,NOTCH1
CEBPA,1.0,ELANE
CEBPB,1.0,ELANE
CEBPD,1.0,ELANE
CCNC,1.0,FABP4
TP53,1.0,FAS
ING4,-1.0,ANGPT1
MAX,1.0,EIF2S1
RELA,1.0,HLA-A
TP63,1.0,FAS
MYC,1.0,GAPDH
TP73,1.0,FAS
MYOD1,-1.0,NOTCH1
TGS1,1.0,ME1
RB1,-1.0,BRCA1
FOXP3,1.0,USP21
JUN,1.0,TCF7L2
RELA,-1.0,KLK3
NFE2L2,1.0,BRCA1
RELA,1.0,SERPINB1
PML,-1.0,EAF2
PPARG,-1.0,SLC2A4
SP1,1.0,ADIPOQ
RELA,1.0,SERPINE1
TCF7L1,1.0,AXIN2
AXIN2,1.0,TCF7L2
TCF7L2,1.0,AXIN2
JUND,1.0,PLAU
FOSL2,-1.0,TIMP1
KLF4,-1.0,IL1B
PGR,1.0,KLK4
IKBKG,1.0,CTNNB1
YAF2,-1.0,E2F1
MAX,1.0,EIF4A1
FOSL2,1.0,COL1A2
STAT6,1.0,CNR1
MAX,1.0,GAPDH
NOTCH1,1.0,PTCRA
NOTCH3,1.0,PTCRA
TCF7L2,1.0,ID2
PTGDR,1.0,HIC1
ZNF300,1.0,CXCL8
STAT4,1.0,CNN2
ABL1,-1.0,BCL6
ABL1,-1.0,BCL2
HMGA1,1.0,CDC25A
CHD9,1.0,FHL2
NFE2L2,1.0,MTHFR
CBFB,1.0,BAX
